,directory_link-href,company,rating,sd_rating
0,http://www.corporatecritic.org/companiesatoz/Group.aspx,Gruppo Campari,14,93
1,http://www.corporatecritic.org/companiesatoz/K.aspx,Know the Origin Limited,???,-1
2,http://www.corporatecritic.org/companiesatoz/T.aspx,Talisman Energy Inc,14,93
3,http://www.corporatecritic.org/companiesatoz/RISO%20.aspx,Royal London Mutual Insurance Society Limited,12,80
4,http://www.corporatecritic.org/companiesatoz/E.aspx,Equine & Livestock Insurance Co Ltd,5.5,36
5,http://www.corporatecritic.org/companiesatoz/Delta.aspx,Diageo plc,7,46
6,http://www.corporatecritic.org/companiesatoz/S.aspx,SABMiller plc,9,60
7,http://www.corporatecritic.org/companiesatoz/H.aspx,Herbal Health Ltd,14,93
8,http://www.corporatecritic.org/companiesatoz/O.aspx,Ontex Group NV,(7.5),50
9,http://www.corporatecritic.org/companiesatoz/H.aspx,Harrogate Water Brands Limited,???,-1
10,http://www.corporatecritic.org/companiesatoz/Clove.aspx,Control Risks Group,14,93
11,http://www.corporatecritic.org/companiesatoz/G.aspx,Glebe Farm,14,93
12,http://www.corporatecritic.org/companiesatoz/D.aspx,Debenhams plc,3,20
13,http://www.corporatecritic.org/companiesatoz/N.aspx,Natural Capital Partners,(14),93
14,http://www.corporatecritic.org/companiesatoz/Bellw.aspx,Belu Water,15,100
15,http://www.corporatecritic.org/companiesatoz/Group.aspx,Groupe Arnault SA,8,53
16,http://www.corporatecritic.org/companiesatoz/Price.aspx,Pure Balance Ltd,14,93
17,http://www.corporatecritic.org/companiesatoz/R.aspx,Rio Tinto Group,8.5,56
18,http://www.corporatecritic.org/companiesatoz/Specs.aspx,Starbucks Corporation,2,13
19,http://www.corporatecritic.org/companiesatoz/The%20C.aspx,The Organic Flower Company,14,93
20,http://www.corporatecritic.org/companiesatoz/Group.aspx,Grundig AG,(6.5),43
21,http://www.corporatecritic.org/companiesatoz/Clove.aspx,Columbia Sportswear Co Inc,8,53
22,http://www.corporatecritic.org/companiesatoz/The%20W.aspx,Time Warner Inc.,12,80
23,http://www.corporatecritic.org/companiesatoz/K.aspx,Keeper Inc (The),12.5,83
24,http://www.corporatecritic.org/companiesatoz/B.aspx,Bank of New York Mellon,13,86
25,http://www.corporatecritic.org/companiesatoz/The%20W.aspx,"TP-Link Technologies Co., Ltd.",14,93
26,http://www.corporatecritic.org/companiesatoz/Asda%20.aspx,Atlantic Soc Francaise Develop Thermique,???,-1
27,http://www.corporatecritic.org/companiesatoz/N.aspx,Nike Inc,6,40
28,http://www.corporatecritic.org/companiesatoz/TPG.aspx,TPG Capital,4.5,30
29,http://www.corporatecritic.org/companiesatoz/W.aspx,Where Does It Come From?,???,-1
30,http://www.corporatecritic.org/companiesatoz/The%20W.aspx,Total SA,12.5,83
31,http://www.corporatecritic.org/companiesatoz/Maya.aspx,Mayfair Equity Partners Nominees Limited,???,-1
32,http://www.corporatecritic.org/companiesatoz/A.aspx,A Turner & Sons Sausage Ltd.,???,-1
33,http://www.corporatecritic.org/companiesatoz/TPG.aspx,Tyne Chease Limited,???,-1
34,http://www.corporatecritic.org/companiesatoz/I.aspx,Ingersoll-Rand Company Limited,14,93
35,http://www.corporatecritic.org/companiesatoz/Londo.aspx,Lunar Ventures Ltd,14,93
36,http://www.corporatecritic.org/companiesatoz/Price.aspx,Priesca sa,14,93
37,http://www.corporatecritic.org/companiesatoz/AMT%20C.aspx,Arden Grange Holdings Ltd,14,93
38,http://www.corporatecritic.org/companiesatoz/Agnat.aspx,Al-Tajir family,11,73
39,http://www.corporatecritic.org/companiesatoz/E.aspx,ExxonMobil Corporation,5.5,36
40,http://www.corporatecritic.org/companiesatoz/AMT%20C.aspx,Antonio Merloni SpA,14,93
41,http://www.corporatecritic.org/companiesatoz/O.aspx,Open Society Foundations (OSF),???,-1
42,http://www.corporatecritic.org/companiesatoz/Bellw.aspx,Birdsong Limited,???,-1
43,http://www.corporatecritic.org/companiesatoz/Delta.aspx,DO-IT Dutch Organic International Trade,14,93
44,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,Esprit Holdings Ltd,12.5,83
45,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,Endesa SA,14,93
46,http://www.corporatecritic.org/companiesatoz/V.aspx,"Veritas Investment Management, LLP",???,-1
47,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,Enamore Ltd,14,93
48,http://www.corporatecritic.org/companiesatoz/A.aspx,Acala Online Ltd,???,-1
49,http://www.corporatecritic.org/companiesatoz/I.aspx,Imperial Chemical Industries plc,14,93
50,http://www.corporatecritic.org/companiesatoz/L.aspx,Lazy Day Foods Ltd,???,-1
51,http://www.corporatecritic.org/companiesatoz/Price.aspx,Purewine Company (The),14,93
52,http://www.corporatecritic.org/companiesatoz/Price.aspx,"Punto Fa, S.L.",13,86
53,http://www.corporatecritic.org/companiesatoz/Scott.aspx,Shannon Minerals Group,14,93
54,http://www.corporatecritic.org/companiesatoz/U.aspx,United Internet AG,14,93
55,http://www.corporatecritic.org/companiesatoz/B.aspx,Banco Bilbao Vizcaya Argentaria (BBVA),11.5,76
56,http://www.corporatecritic.org/companiesatoz/W.aspx,We Come One,14,93
57,http://www.corporatecritic.org/companiesatoz/Price.aspx,PS Financials,14,93
58,http://www.corporatecritic.org/companiesatoz/Mio%20T.aspx,Monwell Limited,???,-1
59,http://www.corporatecritic.org/companiesatoz/Glen%20.aspx,Gorenje Group,(8.5),56
60,http://www.corporatecritic.org/companiesatoz/Glen%20.aspx,GreenNet Educational Trust,14,93
61,http://www.corporatecritic.org/companiesatoz/TPG.aspx,Trusted Nature Ltd,14.5,96
62,http://www.corporatecritic.org/companiesatoz/The%20C.aspx,The Prince's Charities Foundation,???,-1
63,http://www.corporatecritic.org/companiesatoz/N.aspx,National Express Group plc,10,66
64,http://www.corporatecritic.org/companiesatoz/Glen%20.aspx,Google LLC,6,40
65,http://www.corporatecritic.org/companiesatoz/Briti.aspx,Bute Island Foods Ltd,15,100
66,http://www.corporatecritic.org/companiesatoz/AMT%20C.aspx,Arcam,14,93
67,http://www.corporatecritic.org/companiesatoz/C.aspx,CatEye Co. Ltd,14,93
68,http://www.corporatecritic.org/companiesatoz/Whitt.aspx,William Levene Ltd,14,93
69,http://www.corporatecritic.org/companiesatoz/Skadd.aspx,Specialized Bicycle Components Inc,6.5,43
70,http://www.corporatecritic.org/companiesatoz/I.aspx,InterContinental Hotels Group Plc,13,86
71,http://www.corporatecritic.org/companiesatoz/W.aspx,WD-40 Company,9,60
72,http://www.corporatecritic.org/companiesatoz/Lette.aspx,Life Global Holdings Ltd,???,-1
73,http://www.corporatecritic.org/companiesatoz/D.aspx,Danisco A/S,14,93
74,http://www.corporatecritic.org/companiesatoz/V.aspx,Vita Group,4.5,30
75,http://www.corporatecritic.org/companiesatoz/The%20W.aspx,Thomas H Lee Partners,14,93
76,http://www.corporatecritic.org/companiesatoz/E.aspx,Ebro Foods S.A,14,93
77,http://www.corporatecritic.org/companiesatoz/N.aspx,National Counties Building Society,14,93
78,http://www.corporatecritic.org/companiesatoz/R.aspx,Reuters Group Plc,14,93
79,http://www.corporatecritic.org/companiesatoz/Scott.aspx,Siesta Crafts Ltd,14,93
80,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,Elna International Corp,14,93
81,http://www.corporatecritic.org/companiesatoz/E.aspx,Élan Media Partners Pty Ltd,14,93
82,http://www.corporatecritic.org/companiesatoz/Clove.aspx,Coinstone Ltd,14,93
83,http://www.corporatecritic.org/companiesatoz/The%20C.aspx,The Lost Lanes Ltd,???,-1
84,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,Ella's Kitchen (Brands) Ltd,14,93
85,http://www.corporatecritic.org/companiesatoz/S.aspx,SANTOSH OVERSEAS LIMITED,12,80
86,http://www.corporatecritic.org/companiesatoz/F.aspx,Finebrook  Pty Ltd,14,93
87,http://www.corporatecritic.org/companiesatoz/B.aspx,Balfour Group LLP,14,93
88,http://www.corporatecritic.org/companiesatoz/Q.aspx,Qumpus Inc,10.5,70
89,http://www.corporatecritic.org/companiesatoz/Glen%20.aspx,Green Energy UK Plc,12.5,83
90,http://www.corporatecritic.org/companiesatoz/Agnat.aspx,Akzo Nobel NV,8,53
91,http://www.corporatecritic.org/companiesatoz/Phile.aspx,Polaris Apparel Ltd,14,93
92,http://www.corporatecritic.org/companiesatoz/Price.aspx,Prophix Software,14,93
93,http://www.corporatecritic.org/companiesatoz/Ovo%20E.aspx,Ozkleen Asia-Pacific Pty Ltd,14,93
94,http://www.corporatecritic.org/companiesatoz/P.aspx,Paradigm Group,???,-1
95,http://www.corporatecritic.org/companiesatoz/F.aspx,Flaya GB,???,-1
96,http://www.corporatecritic.org/companiesatoz/M.aspx,MAM Babyartikel GesmbH,14,93
97,http://www.corporatecritic.org/companiesatoz/V.aspx,Veritas Capital,14,93
98,http://www.corporatecritic.org/companiesatoz/G.aspx,Geemarc Telecom SA,14,93
99,http://www.corporatecritic.org/companiesatoz/Clove.aspx,Cooks Global Foods,7,46
100,http://www.corporatecritic.org/companiesatoz/J.aspx,J.C. Chang Group,14,93
