,category_link-href,company,rating,sd_rating
0,https://directory.goodonyou.eco/categories/denim,Sussan,Rated : Not good enough,25
1,https://directory.goodonyou.eco/categories/dresses,Burberry,Rated : It's a start,50
2,https://directory.goodonyou.eco/categories/tops,Unrobe,Rated : Good,75
3,https://directory.goodonyou.eco/categories/bags,Sussan,Rated : Not good enough,25
4,https://directory.goodonyou.eco/categories/tops,Brother Vellies,Rated : It's a start,50
5,https://directory.goodonyou.eco/categories/basics,Lorna Jane,Rated : Not good enough,25
6,https://directory.goodonyou.eco/categories/dresses,KORAL,Rated : Not good enough,25
7,https://directory.goodonyou.eco/categories/dresses,C&A,Rated : Good,75
8,https://directory.goodonyou.eco/categories/tops,Elizabeth Suzann,Rated : Good,75
9,https://directory.goodonyou.eco/categories/tops,Tree of Life,Rated : It's a start,50
10,https://directory.goodonyou.eco/categories/accessories,Pomellato,Rated : It's a start,50
11,https://directory.goodonyou.eco/categories/accessories,Scotch & Soda,Rated : Not Good Enough,25
12,https://directory.goodonyou.eco/categories/tops,tonlé,Rated : Great,100
13,https://directory.goodonyou.eco/categories/shoes,Roger Vivier,Rated : Not good enough,25
14,https://directory.goodonyou.eco/categories/outerwear,SKFK,Rated : Great,100
15,https://directory.goodonyou.eco/categories/denim,SUSI Studio,Rated : Good,75
16,https://directory.goodonyou.eco/categories/accessories,HARA,Rated : Great,100
17,https://directory.goodonyou.eco/categories/dresses,Jungmaven,Rated : Good,75
18,https://directory.goodonyou.eco/categories/shoes,Will's Vegan Store,Rated : Good,75
19,https://directory.goodonyou.eco/categories/denim,V by Very,Rated : Not good enough,25
20,https://directory.goodonyou.eco/categories/tops,Bali,Rated : It's a start,50
21,https://directory.goodonyou.eco/categories/sleepwear,Sleeper,Rated : Not good enough,25
22,https://directory.goodonyou.eco/categories/dresses,Splendid,Rated : Not Good Enough,25
23,https://directory.goodonyou.eco/categories/accessories,Rubi,Rated : It's a start,50
24,https://directory.goodonyou.eco/categories/bottoms,Levi's,Rated : It's a start,50
25,https://directory.goodonyou.eco/categories/accessories,The Level Collective,Rated : Good,75
26,https://directory.goodonyou.eco/categories/accessories,eleven44,Rated : It's a start,50
27,https://directory.goodonyou.eco/categories/bags,Melie Bianco,Rated : Not good enough,25
28,https://directory.goodonyou.eco/categories/denim,Le Kilt,Rated : It's a start,50
29,https://directory.goodonyou.eco/categories/suits,Treasure&Bond,Rated : Not Good Enough,25
30,https://directory.goodonyou.eco/categories/plus-size,Lazy Oaf,Rated : Not good enough,25
31,https://directory.goodonyou.eco/categories/bottoms,E.L.V. Denim,Rated : Good,75
32,https://directory.goodonyou.eco/categories/accessories,Sealand,Rated : Good,75
33,https://directory.goodonyou.eco/categories/activewear,Adam Lippes,Rated : Not good enough,25
34,https://directory.goodonyou.eco/categories/shoes,Poppy Barley,Rated : It's a start,50
35,https://directory.goodonyou.eco/categories/bottoms,Katherine Hooker,Rated : It's a start,50
36,https://directory.goodonyou.eco/categories/dresses,Wrangler,Rated : It's a start,50
37,https://directory.goodonyou.eco/categories/activewear,Icebreaker,Rated : Good,75
38,https://directory.goodonyou.eco/categories/tops,Zola Amour,Rated : Good,75
39,https://directory.goodonyou.eco/categories/denim,rag & bone,Rated : Not good enough,25
