,category-href,company,rating,sd_rating
0,https://thegoodshoppingguide.com/subject/crisps/,Pringles,25,25
1,https://thegoodshoppingguide.com/subject/soap/,Odylique,92,92
2,https://thegoodshoppingguide.com/subject/washing-machines/,Miele,86,86
3,https://thegoodshoppingguide.com/subject/ethical-mortgages/,Virgin Money,72,72
4,https://thegoodshoppingguide.com/subject/dishwashers/,Zanussi,95,95
5,https://thegoodshoppingguide.com/subject/chocolate/,Bounty,42,42
6,https://thegoodshoppingguide.com/subject/coffee-shops/,Esquires,65,65
7,https://thegoodshoppingguide.com/subject/beer-lager-and-cider/,Old Speckled Hen,62,62
8,https://thegoodshoppingguide.com/subject/ethical-insurance/,AVIVA,72,72
9,https://thegoodshoppingguide.com/subject/sun-protection/,Malibu,65,65
10,https://thegoodshoppingguide.com/subject/margarine/,Castle Dairies,62,62
11,https://thegoodshoppingguide.com/subject/ethical-insurance/,Allianz,44,44
12,https://thegoodshoppingguide.com/subject/vegetarian-foods/,Cauldron Foods,71,71
13,https://thegoodshoppingguide.com/subject/crisps/,Jonathan Crisp,79,79
14,https://thegoodshoppingguide.com/subject/skincare/,L'Occitane,73,73
15,https://thegoodshoppingguide.com/subject/pain-remedies/,Aspirin,35,35
16,https://thegoodshoppingguide.com/subject/soft-drinks/,PJ Smoothie,57,57
17,https://thegoodshoppingguide.com/subject/washing-up-liquid/,Surcare,64,64
18,https://thegoodshoppingguide.com/subject/bananas/,Bonita,67,67
19,https://thegoodshoppingguide.com/subject/tea/,Typhoo,83,83
20,https://thegoodshoppingguide.com/subject/ethical-cold-remedies/,Nurofen Cold & Flu,46,46
21,https://thegoodshoppingguide.com/subject/cat-dog-food/,Wagg,63,63
22,https://thegoodshoppingguide.com/subject/coffee/,The Co-operative,83,83
23,https://thegoodshoppingguide.com/subject/yoghurt/,Ski,46,46
24,https://thegoodshoppingguide.com/subject/biscuits/,Hill,62,62
25,https://thegoodshoppingguide.com/subject/ethical-cleaners/,Xtra,91,91
26,https://thegoodshoppingguide.com/subject/supermarkets/,Asda,54,54
27,https://thegoodshoppingguide.com/subject/ethical-mortgages/,TSB Bank,66,66
28,https://thegoodshoppingguide.com/subject/tinned-tuna/,Fish4ever,95,95
29,https://thegoodshoppingguide.com/subject/soup/,Campbells,46,46
30,https://thegoodshoppingguide.com/subject/dishwashers/,Electrolux,95,95
31,https://thegoodshoppingguide.com/subject/laundry-detergents/,Bio D,95,95
32,https://thegoodshoppingguide.com/subject/soap/,Living Naturally,100,100
33,https://thegoodshoppingguide.com/subject/tea/,Clipper,87,87
34,https://thegoodshoppingguide.com/subject/shoes-trainers/,Puma,65,65
35,https://thegoodshoppingguide.com/subject/paint/,Craig & Rose,67,67
36,https://thegoodshoppingguide.com/subject/kitchen-appliances/,Breville,77,77
37,https://thegoodshoppingguide.com/subject/ethical-insurance/,AA,61,61
38,https://thegoodshoppingguide.com/subject/ethical-feminine-care/,Always,42,42
39,https://thegoodshoppingguide.com/subject/ethical-dog-food/,Pedigree,32,32
40,https://thegoodshoppingguide.com/subject/washing-up-liquid/,Ecozone,95,95
41,https://thegoodshoppingguide.com/subject/pasta-pulse-and-rices/,Infinity Foods,87,87
42,https://thegoodshoppingguide.com/subject/skincare/,No 7,50,50
43,https://thegoodshoppingguide.com/subject/ethical-insurance/,Ansvar,72,72
44,https://thegoodshoppingguide.com/subject/ethical-mortgages/,Newcastle Building Society,72,72
45,https://thegoodshoppingguide.com/subject/mobile-networks/,Sky Mobile,75,75
46,https://thegoodshoppingguide.com/subject/bread/,Granary,71,71
47,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,School Uniform Shop,79,79
48,https://thegoodshoppingguide.com/subject/skincare/,Tropic Skincare,92,92
49,https://thegoodshoppingguide.com/subject/tea/,Cafédirect Tea,96,96
50,https://thegoodshoppingguide.com/subject/ethical-insurance/,LV= (Liverpool Victoria),77,77
51,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,Mango,57,57
52,https://thegoodshoppingguide.com/subject/paint/,Johnstone's,33,33
53,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,Seasalt,78,78
54,https://thegoodshoppingguide.com/subject/shoes-trainers/,Clarks,65,65
55,https://thegoodshoppingguide.com/subject/cat-dog-food/,Applaws,77,77
56,https://thegoodshoppingguide.com/subject/pain-remedies/,Panadol,27,27
57,https://thegoodshoppingguide.com/subject/dishwashers/,Candy,91,91
58,https://thegoodshoppingguide.com/subject/laundry-detergents/,Ecozone,95,95
59,https://thegoodshoppingguide.com/subject/ethical-dog-food/,Goood (UK),91,91
60,https://thegoodshoppingguide.com/subject/cat-dog-food/,Thrive,82,82
61,https://thegoodshoppingguide.com/subject/ethical-insurance/,Express Insurance Services,72,72
62,https://thegoodshoppingguide.com/subject/beer-lager-and-cider/,Marston's,67,67
63,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,Newcastle Building Society,72,72
64,https://thegoodshoppingguide.com/subject/kettles/,Swan,86,86
65,https://thegoodshoppingguide.com/subject/pcs-laptops-and-tablets/,Archos,71,71
66,https://thegoodshoppingguide.com/subject/coffee-shops/,Greggs,77,77
67,https://thegoodshoppingguide.com/subject/washing-machines/,GE,59,59
68,https://thegoodshoppingguide.com/subject/fridges-freezers/,Zanussi,95,95
69,https://thegoodshoppingguide.com/subject/vaccum-cleaners/,Vax,77,77
70,https://thegoodshoppingguide.com/subject/ethical-cleaners/,Ecover,36,36
71,https://thegoodshoppingguide.com/subject/washing-machines/,De Dietrich,82,82
72,https://thegoodshoppingguide.com/subject/ethical-insurance/,Diamond,66,66
73,https://thegoodshoppingguide.com/subject/kettles/,Haden,77,77
74,https://thegoodshoppingguide.com/subject/coffee/,Percol,87,87
75,https://thegoodshoppingguide.com/subject/ice-cream/,Rocombe Farm,79,79
76,https://thegoodshoppingguide.com/subject/ethical-cleaners/,Method,36,36
77,https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/,WorldStores,77,77
78,https://thegoodshoppingguide.com/subject/mobile-networks/,Virgin,85,85
79,https://thegoodshoppingguide.com/subject/skincare/,Avon,46,46
80,https://thegoodshoppingguide.com/subject/mobile-networks/,BT Mobile,50,50
81,https://thegoodshoppingguide.com/subject/ethical-vitamins/,Solgar,54,54
82,https://thegoodshoppingguide.com/subject/bananas/,Tesco,50,50
83,https://thegoodshoppingguide.com/subject/ethical-mortgages/,Yorkshire Bank,50,50
84,https://thegoodshoppingguide.com/subject/fridges-freezers/,Maytag,68,68
