Gruppo Campari,65
Talisman Energy Inc,65
Royal London Mutual Insurance Society Limited,54
Equine & Livestock Insurance Co Ltd,15
Diageo plc,24
SABMiller plc,36
Herbal Health Ltd,65
Ontex Group NV,27
Control Risks Group,65
Glebe Farm,65
Debenhams plc,1
Natural Capital Partners,65
Belu Water,71
Groupe Arnault SA,30
Pure Balance Ltd,65
Rio Tinto Group,33
Starbucks Corporation,0
The Organic Flower Company,65
Grundig AG,21
Columbia Sportswear Co Inc,30
Time Warner Inc.,54
Keeper Inc (The),56
Bank of New York Mellon,59
"TP-Link Technologies Co., Ltd.",65
Nike Inc,18
TPG Capital,19
Where Does It Come From?,89
Total SA,56
Ingersoll-Rand Company Limited,65
Lunar Ventures Ltd,65
Priesca sa,65
Arden Grange Holdings Ltd,65
Al-Tajir family,47
ExxonMobil Corporation,15
Antonio Merloni SpA,65
DO-IT Dutch Organic International Trade,65
Esprit Holdings Ltd,56
Endesa SA,65
Enamore Ltd,65
Imperial Chemical Industries plc,65
Purewine Company (The),65
"Punto Fa, S.L.",59
Shannon Minerals Group,65
United Internet AG,65
Banco Bilbao Vizcaya Argentaria (BBVA),50
We Come One,65
PS Financials,65
Gorenje Group,33
GreenNet Educational Trust,65
Trusted Nature Ltd,68
National Express Group plc,41
Google LLC,18
Bute Island Foods Ltd,71
Arcam,65
CatEye Co. Ltd,65
William Levene Ltd,65
Specialized Bicycle Components Inc,21
InterContinental Hotels Group Plc,59
WD-40 Company,40
Danisco A/S,65
Vita Group,10
Thomas H Lee Partners,65
Ebro Foods S.A,65
National Counties Building Society,65
Reuters Group Plc,65
Siesta Crafts Ltd,65
Elna International Corp,65
Élan Media Partners Pty Ltd,65
Coinstone Ltd,65
Ella's Kitchen (Brands) Ltd,65
SANTOSH OVERSEAS LIMITED,54
Finebrook  Pty Ltd,65
Balfour Group LLP,65
Qumpus Inc,45
Green Energy UK Plc,56
Akzo Nobel NV,30
Polaris Apparel Ltd,65
Prophix Software,65
Ozkleen Asia-Pacific Pty Ltd,65
MAM Babyartikel GesmbH,65
Veritas Capital,65
Geemarc Telecom SA,65
Cooks Global Foods,24
J.C. Chang Group,65
No Cows LLP,65
Sikh Dharma International,59
Giorgio Armani SpA,18
Jané,65
Freerangers,54
Galpharm Healthcare Ltd,33
Tiffany & Co,33
Curtis Fine Papers,65
Bollin Group Ltd,50
Bang & Olufsen Holding A/S,65
The Scott Trust,62
Ethical Wares Ltd,54
SolarWorld AG,41
Vincor International Inc,65
PALLADIUM GROUP HOLDINGS PTY LTD,50
Rexam plc,65
Marks & Spencer Group plc,18
Haribo GmbH & Co. KG,65
Wyeth,21
Ebico,68
E. Merck oHG,65
BHP Billiton Group,21
Sun Capital Partners Ltd,47
Risk Capital Partners,65
Getenergy Ltd,65
National Schoolwear Centres,65
SVM Asset Management,21
GAM,65
Eat Natural Ltd,39
FRANCHI SEEDS 1783,54
Hobbycraft Group Limited,15
Rude Health Foods Limited,56
JD Wetherspoon plc,27
Worton Cottage Industry,65
Nancy Dee Clothing LLP,65
Protein Limited,65
"Merisant Worldwide, Inc.",65
"The Watermill, Little Salkeld",65
Nikko Group,65
Deutsche Post AG,62
Edward Thompson Group,65
Montagu Private Equity,65
Windmill Organics Ltd,62
Froneri [WAS R&R Ice Cream Ltd},0
Uniross Batteries SA,65
Uniqlooks,65
Yingli Green Energy Holding Company Ltd,33
Sonneborn & Rieck,65
Oki Electric Industry,65
Brio AB,65
[HISTORICAL RECORD] IWP International Plc,65
Pixley Berries (Juice) Ltd,65
Accor SA,65
Linco Care Ltd,65
Daily Mail & General Trust,62
The BenRiach Distillery Company Ltd,65
Seasalt Limited,41
Groupe Eurotunnel SA,65
Dana Petroleum Plc,65
EW King & Co Ltd,65
COFRA Holding AG,4
Transcend Information Inc,65
Yell Group plc,65
Milk Link,65
Hugo Boss AG,24
Redrow Plc,65
Stichting Aandelen Remeha,54
Bamboo Clothing Ltd,41
East End Foods,39
Soya Group,65
OneFamily (Family Assurance Friendly Society Ltd),21
French Transit Ltd,65
The English Whisky Company,65
Braunstone Properties,65
Fast Retailing Co. Ltd,33
Cinven Group,59
ENI SpA,6
R Griggs Ltd,21
Hansing,65
Chocolaterie Duc d'O,65
Hillier Nurseries Ltd,24
"Kansai Electric Power Company, Inc",62
Famous Brands Limited,21
Nissan Motor Co Ltd,12
The Jones Group,65
Credit Suisse Group,50
Bebecar Group,65
Heather Ale Ltd,65
Brompton Bicycles Ltd,30
Alara Wholefoods Ltd,65
Bridgestone Corporation,65
Viridian Group Plc,65
BASF SE,56
Manchester City Football Club,65
Cafe Libertad Kollektiv eG,71
Moss Bros Group Plc,62
La Fiammante,65
3i Group plc,62
Ex Mill Envelope and Paper Co,65
Caurnie Soap Co,65
Eoltec,65
Hargreaves Family,24
Lunapads International,71
Sime S.p.A,54
Vestar Capital Partners,65
Royal & Sun Alliance Insurance Group Plc,65
Dominion Resources Inc,59
RELX plc,59
Clean Slate,65
"Pacari Chocolate, LLC",71
Standard Chartered plc,24
Yaoh Ltd,50
Kentz Corporation Ltd,65
Corriente Resources Inc,65
Ricoh Co. Ltd.,24
Wyndham Worldwide Corporation,59
Deeside Water Co (The) Ltd,65
Reed Smith LLP,56
Logitech International SA,65
International Audio Group Ltd,65
Darty plc,65
WHEB LLP,71
Hong Leong Group Malaysia,65
The Rockefeller Foundation,59
Abena Holding A/S,27
Kimberly-Clark Corp,21
EWE AG,65
Datang Technology & Industry Group,59
Morning Foods Ltd,47
RWE Aktiengesellschaft,39
Seagate Technology PLC,65
Ravenheat Holdings,41
Churchtown Farm,65
Stagecoach Group plc,36
Zorlu Holding A.S.,30
AT Holdings,65
Danske Bank A/S,6
Sunshine Snacks,65
Binomial Group Ltd,65
Alfred Ritter GmbH & Co. KG,39
Yokozuna Ltd,59
Edimax Technology Co,65
Hens teeth Ltd,65
Apollo Global Management,21
Vinceremos,65
De-Vau-Ge Gesundkostwerk GmbH,65
ACCO Brands Corporation,65
Against the Grain Ltd,71
Commonwealth Bank of Australia (Commonwealth Bank Group),56
Annie Greenabelle,47
Christian Dior SA,1
Konstar Industries Ltd,65
Yasuda International Limited,65
Pertwood Organic Cereal Company,65
Aviva Plc,33
International Business Machines (IBM) Corporation,15
Books Etc,41
Maya,65
Gemfields plc,47
Alphabet Inc,30
TC Group,65
Breville Group,59
Groupe Hamelin,65
Royal Dutch Shell plc,1
Schneider Electric,66
Ebac Foundation,47
Bodum AG,36
Gilda & Pearl Ltd,65
Phil & Ted's,65
Paul Reed Smith Guitars,65
Weleda AG,59
K2 Inc,65
British American Tobacco,44
Delta Air Lines Inc,50
Aleutia Limited,65
Emil Vertriebs-GmbH,65
Costa Rica Coffee Co Ltd,65
Gordon-Smith Guitars,65
"Petty, Wood & Co Ltd",65
Groupe Danone,6
Doughty Hanson & Co Ltd,65
Errea Sport SpA,65
HSBC Holdings plc,0
Naturesave Policies Ltd,65
Cobra Electronics Corporation,65
Kooperativa Forbundet (KF),65
PJL Investments BV,24
Wigan Athletic Football Club,65
Jollyum Ltd,71
Ford Motor Company,15
Infinity Foods Co-operative Limited,62
Three Choirs Vineyards Ltd,65
"Seminole Tribe of Florida, Inc",65
Quiksilver Inc,62
William Santus & Co Ltd,65
Ipswich Building Society,65
Iceland Topco Ltd,18
FWP Matthews,65
Carhartt Inc,65
Republic Gold Ltd,65
J W Childs Associates,65
Aeffe S.p.A.,65
Bourgeois Boheme,64
WH Smith Plc,47
Yves Rocher,50
George Luck Puzzles Ltd,65
The Groovy Food Company,54
Man Group plc,62
Funai Electric Co. Ltd,65
Host Europe Group,59
DBApparel,65
United Foods International plc,65
Earth Friendly Products,50
Unicorn Grocery,71
Freshfields Bruckhaus Deringer,50
Dri-Pak Ltd,47
Wesleyan Assurance Society,65
Honda Motor Co Ltd,24
AHG Venice Ltd,15
Lloyds Banking Group plc,10
IAC/InterActiveCorp,62
Kachikoshi Ltd,56
Europa Pet Foods Ltd,65
Sodasan Wasch- und Reinigungsmittel GmbH,65
Endless,56
Plantronics,65
Electra Private Equity Partners Lp,30
Miele & Cie. KG,41
VF Corporation Inc,21
WBA Holdings Ltd,65
Macintosh Retail Group NV,65
Admiral Group,4
Alshaya Group,65
Alliance Trust PLC,21
Covea,12
OneSavings Bank Plc,50
Fashion - Conscience.com Limited,59
Apple Inc,24
Real Organic Foods Company,65
Marriott International,62
PlusNet Plc,27
Inditex Group,30
Barratts Trading Limited,65
Paperalia,65
Aquados Ltd,65
Busch & Müller KG,65
Farmfoods Ltd,65
Concord Camera Corporation,65
Project Blue,59
PZ Cussons PLC,30
Willow Water Ltd,65
Mulliez Family,39
EH Booth & Co Ltd,4
Dogwoof Ltd,65
Doves Farm Foods Ltd,59
Footprint Clothing,65
Aberdeen Asset Management Plc,0
Romec Ltd,56
HP Inc,18
Mike Ashley,24
Microsoft Corporation,54
Giant Manufacturing Co Ltd,27
ASOS plc,30
Nap Ease Ltd,54
MessageLabs Group Ltd,65
Emmaljunga AB,65
Shoe Zone Plc,30
Russimco Ltd,65
Telstra,62
British Broadcasting Corporation (BBC),59
RAO UES of Russia,59
Wenger S.A,65
Clothworks,65
American International Group (AIG) Inc,1
Westland Horticulture,30
2 Sisters Food Group,33
Orvalley Corporation N.V,59
GOVIA,41
Dart Group Plc,59
Facebook Inc,15
Cafeology,59
Regent Inns plc,65
Joules Clothing Ltd,65
KKR & Co. L.P.,15
William Hill Plc,62
Evesham Technology Holdings Ltd,65
Green Valley Trading Company,62
easyGroup (UK) Ltd,62
Nomads Clothing Ltd,56
The Doe Run Company,65
Esure Group,12
Standard Life Plc,0
Proview International Holdings Ltd,65
McKeith Research Ltd,65
Bishopston Trading Company Ltd,65
Traditional Scottish Ales,65
Hilleberg The Tentmaker,65
Goldman Sachs Group Inc,12
Makita Corp,65
Dale Farm Cooperative,33
Thai Union Group Public Company Limited,21
Lloyd's Of London,4
Bibby Line Group Ltd,65
Fentimans Ltd,50
CVC Capital Partners Europe Ltd,65
Rakuten Inc,24
Nutshell Natural Paints,50
Rumah London,65
Norwich & Peterborough Building Society,62
The Tea and Coffee Plant,65
Brother Industries Ltd,65
Frank Water Ltd,65
Unilever,40
Cream O'Galloway Dairy Co Ltd,56
Sam I Am,65
Line 6,65
Prothero Ltd,65
Zapf Creation AG,65
Very Innovative Group Ltd,36
Hiut Ltd,39
American Express Company,27
Charterhouse Capital Partners LLP,62
Grupo Camargo Correa,59
Tiana Fair Trade Organics Ltd,71
Legal & General Group plc,4
Hipp GMBH and Co Vertrieb KG,65
French Connection Group Plc,33
West Bromwich Building Society,62
MacAndrews & Forbes Holdings Inc,39
Earl Shilton Building Society,65
Koç Holding AS,24
Advanced Fluid Connections (AFC),65
BenQ Group,65
"Yamato Holdings Co, Ltd",65
Arla Foods amba,21
Smiths Coffee Company Ltd,65
Duke Street Capital Holdings Ltd,50
Jamaica Producers Group Ltd,65
Do You Green,65
BRODIE MELROSE DRYSDALE & CO LTD,27
Jupiter Fund Management Plc,15
Mayborn Group plc,62
All Market Inc,56
[MERGED] Stroud and Swindon Building Society,62
Carlsberg A/S,36
Tesla Motors Inc,30
Plants Of Distinction,65
Etablissements Charles Nusse,65
Toyota Motor Corp,15
Combi Corporation,65
Cocoa Loco Ltd,71
General Motors Corporation,10
Artsana SpA,30
Pioneer Corporation,65
Fratelli De Cecco di Filippo Fara San Martino S.p.A.,65
Nkuku,59
Yamaha Corporation,65
Merck & Co Inc,59
MJM International Ltd,65
Go-Ahead Group plc,45
FMR LLC,0
Samsung Group,19
Caudwell Group,65
Hornby plc,65
Archos SA,30
Amsprop London Ltd,65
Bravissimo Ltd,65
Premier Foods Plc,39
CBPE Capital,30
Lioncourt Capital Ltd,65
ICICI Bank Ltd,21
Trek Bicycle Corporation,24
Perrigo Company,33
Koninklijke Wessanen nv (AKA Royal Wessanen),39
"Walgreens Boots Alliance, Inc.",0
W & H Marriage & Sons,65
Black Isle Brewing Co,65
Valentino Fashion Group SpA,62
Stichting INGKA Foundation,18
Ecco Holding A/S,30
Hanson UK,27
Shire plc,59
Canon Inc,12
Vaillant Group,41
Travis Perkins plc,15
Tea Times Holding Ltd,65
Allied Irish Banks Plc,12
L W Corporation Ltd,65
Honesty Cosmetics,62
Buxton Foods Limited,65
Comercializadora Internacional Banacol De Colombia SA,39
MUD Jeans International B.V.,71
Bugaboo Design & Sales b.v.,65
Ferrero International SA,30
PA Consulting Group,30
Baroness Retail,36
Adventure Challenge Events,65
Offshore Media Jersey Limited,65
Moo Free Ltd,71
Tottenham Hotspur plc,65
Tomkins plc,65
Chocoladefabriken Lindt & Sprüngli AG,30
Newcastle Building Society,58
Only Natural Products Ltd,56
ALDI,33
Favorita Fruit Company,12
Thought Fashion Limited,59
Centrica Plc,24
Pet Food UK Holdings Ltd,39
China National Offshore Oil Corporation,65
Société Générale,62
Mitchells & Butlers,27
Koninklijke Philips Electronics NV (Royal Philips),36
Guy Pinard & Fils sarl,65
Symphonix Ltd,65
The Green Apple,65
Hill Biscuits Ltd,45
Havana Holding B.V.,65
TCL Corporation,30
Pudding Clothing,65
JP Boden & Co Ltd,62
Iriver Ltd,65
OAO Gazprom,47
Gaskell plc,65
Delamere Dairy Holdings,39
Authentic Bread Company,65
Tribeca-May Ltd,59
Virgin Group Holdings Ltd,30
Ameriprise Financial Inc,59
Stokke Gruppen AS,65
Rainbow Wholefoods,65
Arrogance Accessories Ltd,65
Auro Pflanzenchemie AG,59
HM Capital Partners LLC,65
Softwalker Ltd,65
Thaymar Ltd,36
Katvig ApS,65
Lycatel,47
Superdry PLC [previously SuperGroup Plc],36
Lucy Bee Ltd,71
Deutsche Bahn,21
Traidcraft plc,56
Cawston Press Ltd,54
Plastwood Di Fini Sisto E C Sas,65
Funky Gandhi Limited,65
Tranquil PC Ltd,65
Hero,65
Klondyke Group Limited,18
Rutland Partners LLP,39
Lotte Group,27
Phoenix Farm Group Limited,59
Middlesbrough Football Club,65
Giochi Preziosi,65
Rip Curl International Pty Ltd,62
The Welsh Whisky Company Limited,65
Vendis Capital,59
Northumbrian Water Group,10
Habermaas GmbH,65
Eastman Kodak Company,24
Road Angel Group,65
EMC Corporation,15
Orange S.A,33
Viridian Nutrition Ltd,65
"Bandcamp, Inc.",65
Hotel Chocolat,36
Findel plc,33
Henry Squire & Sons Ltd,65
Natura Cosmeticos S/A,27
Capital Group Companies Inc,18
Punjana Ltd,56
United Coffee group,39
Canterbury International Ltd,65
Anglo American plc,41
PitRok,47
KTC (Edibles) Ltd,36
Land Securities Group,76
Caspian Topco,65
Hillfarm Oils Ltd,65
Solarplicity Energy Limited,56
TJX Companies Inc,1
De Beers SA,47
SPAR International,65
Camphill Village Trust Limited,65
Biotta AG,65
Grupo Noboa S.A.,65
Marc Laurent SA,65
Chocolaterie Guylian Nv,12
First Foods,65
Blue Diamond Ltd,18
Ferrero SpA,21
Britannia Hotels,65
Verizon Communications Inc,12
Fender Musical Instruments Corporation,65
Southern Co Inc,59
Swaddlebees,65
Cybex Industrial Ltd,65
Campbell Soup Co,56
Neal's Yard (Natural Remedies) Limited,62
Lindam Ltd,65
Swatch Group Ltd (The),65
Hoya Corporation,62
Broughton Ales,65
HDI Haftpflichtverband der Deutschen Industrie Versicherungsverein auf Gegenseitigkeit,18
First Data Corporation,62
GasTerra,18
Diana Dolls Fashion Inc.,65
Dr. August Oetker Kg,0
Weeks Foods Ltd,56
Allianz SE,4
Triumph International Spiesshofer & Braun,41
Belkin International,65
