web-scraper-order,web-scraper-start-url,directory_link,directory_link-href,company,rating
"1593892455-5988","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Group-Guy W","http://www.corporatecritic.org/companiesatoz/Group.aspx","Gruppo Campari","14"
"1593892440-5802","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","K-Kosni","http://www.corporatecritic.org/companiesatoz/K.aspx","Know the Origin Limited","???"
"1593892386-5082","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","T-The B","http://www.corporatecritic.org/companiesatoz/T.aspx","Talisman Energy Inc","14"
"1593892399-5293","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","RISO -Ryana","http://www.corporatecritic.org/companiesatoz/RISO%20.aspx","Royal London Mutual Insurance Society Limited","12"
"1593892474-6318","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","E","http://www.corporatecritic.org/companiesatoz/E.aspx","Equine & Livestock Insurance Co Ltd","5.5"
"1593892478-6357","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Delta-DS Sm","http://www.corporatecritic.org/companiesatoz/Delta.aspx","Diageo plc","7"
"1593892397-5240","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","S-Scora","http://www.corporatecritic.org/companiesatoz/S.aspx","SABMiller plc","9"
"1593892453-5975","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","H-Herba","http://www.corporatecritic.org/companiesatoz/H.aspx","Herbal Health Ltd","14"
"1593892415-5493","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","O-Overs","http://www.corporatecritic.org/companiesatoz/O.aspx","Ontex Group NV","(7.5)"
"1593892453-5958","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","H-Herba","http://www.corporatecritic.org/companiesatoz/H.aspx","Harrogate Water Brands Limited","???"
"1593892485-6463","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Clove-Cp7 P","http://www.corporatecritic.org/companiesatoz/Clove.aspx","Control Risks Group","14"
"1593892460-6084","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","G-Glebe","http://www.corporatecritic.org/companiesatoz/G.aspx","Glebe Farm","14"
"1593892480-6417","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","D-Deloi","http://www.corporatecritic.org/companiesatoz/D.aspx","Debenhams plc","3"
"1593892419-5539","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","N-Nikon","http://www.corporatecritic.org/companiesatoz/N.aspx","Natural Capital Partners","(14)"
"1593892497-6623","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Bellw-BMI","http://www.corporatecritic.org/companiesatoz/Bellw.aspx","Belu Water","15"
"1593892455-5976","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Group-Guy W","http://www.corporatecritic.org/companiesatoz/Group.aspx","Groupe Arnault SA","8"
"1593892406-5378","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Price-PZ Cu","http://www.corporatecritic.org/companiesatoz/Price.aspx","Pure Balance Ltd","14"
"1593892402-5345","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","R-Risk","http://www.corporatecritic.org/companiesatoz/R.aspx","Rio Tinto Group","8.5"
"1593892390-5138","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Specs-Super","http://www.corporatecritic.org/companiesatoz/Specs.aspx","Starbucks Corporation","2"
"1593892384-5066","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","The C-The T","http://www.corporatecritic.org/companiesatoz/The%20C.aspx","The Organic Flower Company","14"
"1593892455-5984","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Group-Guy W","http://www.corporatecritic.org/companiesatoz/Group.aspx","Grundig AG","(6.5)"
"1593892485-6448","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Clove-Cp7 P","http://www.corporatecritic.org/companiesatoz/Clove.aspx","Columbia Sportswear Co Inc","8"
"1593892381-5016","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","The W-TP-Li","http://www.corporatecritic.org/companiesatoz/The%20W.aspx","Time Warner Inc.","12"
"1593892440-5787","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","K-Kosni","http://www.corporatecritic.org/companiesatoz/K.aspx","Keeper Inc (The)","12.5"
"1593892499-6679","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","B-Bella","http://www.corporatecritic.org/companiesatoz/B.aspx","Bank of New York Mellon","13"
"1593892381-5037","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","The W-TP-Li","http://www.corporatecritic.org/companiesatoz/The%20W.aspx","TP-Link Technologies Co., Ltd.","14"
"1593892501-6708","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Asda -Azzur","http://www.corporatecritic.org/companiesatoz/Asda%20.aspx","Atlantic Soc Francaise Develop Thermique","???"
"1593892419-5562","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","N-Nikon","http://www.corporatecritic.org/companiesatoz/N.aspx","Nike Inc","6"
"1593892379-4968","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","TPG-Tyrre","http://www.corporatecritic.org/companiesatoz/TPG.aspx","TPG Capital","4.5"
"1593892370-4892","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","W-Whitb","http://www.corporatecritic.org/companiesatoz/W.aspx","Where Does It Come From?","???"
"1593892381-5032","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","The W-TP-Li","http://www.corporatecritic.org/companiesatoz/The%20W.aspx","Total SA","12.5"
"1593892426-5606","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Maya-Minis","http://www.corporatecritic.org/companiesatoz/Maya.aspx","Mayfair Equity Partners Nominees Limited","???"
"1593892508-6802","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","A-Agfa-","http://www.corporatecritic.org/companiesatoz/A.aspx","A Turner & Sons Sausage Ltd.","???"
"1593892379-4996","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","TPG-Tyrre","http://www.corporatecritic.org/companiesatoz/TPG.aspx","Tyne Chease Limited","???"
"1593892447-5873","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","I-Islan","http://www.corporatecritic.org/companiesatoz/I.aspx","Ingersoll-Rand Company Limited","14"
"1593892430-5693","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Londo-Lyrec","http://www.corporatecritic.org/companiesatoz/Londo.aspx","Lunar Ventures Ltd","14"
"1593892406-5354","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Price-PZ Cu","http://www.corporatecritic.org/companiesatoz/Price.aspx","Priesca sa","14"
"1593892503-6740","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","AMT C-Asahi","http://www.corporatecritic.org/companiesatoz/AMT%20C.aspx","Arden Grange Holdings Ltd","14"
"1593892506-6763","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Agnat-Amstr","http://www.corporatecritic.org/companiesatoz/Agnat.aspx","Al-Tajir family","11"
"1593892474-6341","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","E","http://www.corporatecritic.org/companiesatoz/E.aspx","ExxonMobil Corporation","5.5"
"1593892503-6728","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","AMT C-Asahi","http://www.corporatecritic.org/companiesatoz/AMT%20C.aspx","Antonio Merloni SpA","14"
"1593892415-5495","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","O-Overs","http://www.corporatecritic.org/companiesatoz/O.aspx","Open Society Foundations (OSF)","???"
"1593892497-6650","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Bellw-BMI","http://www.corporatecritic.org/companiesatoz/Bellw.aspx","Birdsong Limited","???"
"1593892478-6364","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Delta-DS Sm","http://www.corporatecritic.org/companiesatoz/Delta.aspx","DO-IT Dutch Organic International Trade","14"
"1593892471-6242","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","É","http://www.corporatecritic.org/companiesatoz/%C3%89.aspx","Esprit Holdings Ltd","12.5"
"1593892471-6222","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","É","http://www.corporatecritic.org/companiesatoz/%C3%89.aspx","Endesa SA","14"
"1593892375-4923","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","V-Viva!","http://www.corporatecritic.org/companiesatoz/V.aspx","Veritas Investment Management, LLP","???"
"1593892471-6221","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","É","http://www.corporatecritic.org/companiesatoz/%C3%89.aspx","Enamore Ltd","14"
"1593892508-6814","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","A-Agfa-","http://www.corporatecritic.org/companiesatoz/A.aspx","Acala Online Ltd","???"
"1593892447-5863","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","I-Islan","http://www.corporatecritic.org/companiesatoz/I.aspx","Imperial Chemical Industries plc","14"
"1593892435-5758","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","L-Leona","http://www.corporatecritic.org/companiesatoz/L.aspx","Lazy Day Foods Ltd","???"
"1593892406-5382","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Price-PZ Cu","http://www.corporatecritic.org/companiesatoz/Price.aspx","Purewine Company (The)","14"
"1593892406-5377","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Price-PZ Cu","http://www.corporatecritic.org/companiesatoz/Price.aspx","Punto Fa, S.L.","13"
"1593892395-5216","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Scott-Sixty","http://www.corporatecritic.org/companiesatoz/Scott.aspx","Shannon Minerals Group","14"
"1593892377-4961","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","U","http://www.corporatecritic.org/companiesatoz/U.aspx","United Internet AG","14"
"1593892499-6672","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","B-Bella","http://www.corporatecritic.org/companiesatoz/B.aspx","Banco Bilbao Vizcaya Argentaria (BBVA)","11.5"
"1593892370-4872","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","W-Whitb","http://www.corporatecritic.org/companiesatoz/W.aspx","We Come One","14"
"1593892406-5370","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Price-PZ Cu","http://www.corporatecritic.org/companiesatoz/Price.aspx","PS Financials","14"
"1593892424-5587","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Mio T-Munic","http://www.corporatecritic.org/companiesatoz/Mio%20T.aspx","Monwell Limited","???"
"1593892458-6016","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Glen -Gregg","http://www.corporatecritic.org/companiesatoz/Glen%20.aspx","Gorenje Group","(8.5)"
"1593892458-6039","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Glen -Gregg","http://www.corporatecritic.org/companiesatoz/Glen%20.aspx","GreenNet Educational Trust","14"
"1593892379-4989","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","TPG-Tyrre","http://www.corporatecritic.org/companiesatoz/TPG.aspx","Trusted Nature Ltd","14.5"
