web-scraper-order,web-scraper-start-url,company_link,company_link-href,brand_link,brand_link-href,company,company-href,name,rating-src,brand,brand-href
"1594205363-321","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Top Hat Fine Foods","https://guide.ethical.org.au/company/?company=4261","Top Hat Fine Foods","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594209577-906","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","OKI Electric","https://guide.ethical.org.au/company/?company=3113","OKI Electric","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594204002-135","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","York Foods","https://guide.ethical.org.au/company/?company=1789","York Foods","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594215545-1700","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Future Enterprises","https://guide.ethical.org.au/company/?company=287","Future Enterprises","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594206923-533","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Showpo","https://guide.ethical.org.au/company/?company=3076","Showpo","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594206758-510","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Smeg Australia","https://guide.ethical.org.au/company/?company=5823","Smeg Australia","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594221261-2497","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","A Clouet","https://guide.ethical.org.au/company/?company=21","A Clouet","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594204426-190","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Wesfarmers","https://guide.ethical.org.au/company/?company=687","Wesfarmers","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594210456-1030","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","MunsterKids","https://guide.ethical.org.au/company/?company=5280","MunsterKids","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594214475-1554","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Heat","https://guide.ethical.org.au/company/?company=1778","Heat","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594203980-132","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Yumi's Quality Foods","https://guide.ethical.org.au/company/?company=702","Yumi's Quality Foods","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594209124-840","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Pasta Garofalo","https://guide.ethical.org.au/company/?company=1996","Pasta Garofalo","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594219007-2173","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Brands RMJ","https://guide.ethical.org.au/company/?company=162","Brands RMJ","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594211002-1100","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Milne AgriGroup","https://guide.ethical.org.au/company/?company=1159","Milne AgriGroup","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594209488-893","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","OptiPharm","https://guide.ethical.org.au/company/?company=3018","OptiPharm","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594219788-2286","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Bayview Seafoods","https://guide.ethical.org.au/company/?company=1008","Bayview Seafoods","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594209144-843","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","PAS Group","https://guide.ethical.org.au/company/?company=4948","PAS Group","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594205445-333","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Tokai Australia","https://guide.ethical.org.au/company/?company=1068","Tokai Australia","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594212839-1343","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Kimberly-Clark Australia","https://guide.ethical.org.au/company/?company=373","Kimberly-Clark Australia","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594211366-1144","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","McLintocks","https://guide.ethical.org.au/company/?company=427","McLintocks","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594207929-674","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Remedy Drinks","https://guide.ethical.org.au/company/?company=3006","Remedy Drinks","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594219208-2202","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Boden","https://guide.ethical.org.au/company/?company=2081","Boden","https://guide.ethical.org.au/images/icons-small/icon_green.png","",""
"1594209411-882","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Organico Realfoods","https://guide.ethical.org.au/company/?company=1122","Organico Realfoods","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594220395-2374","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Asahi Group","https://guide.ethical.org.au/company/?company=4323","Asahi Group","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594211164-1119","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Metsa Board","https://guide.ethical.org.au/company/?company=4381","Metsa Board","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594211448-1154","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Mayo Group","https://guide.ethical.org.au/company/?company=1800","Mayo Group","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594216301-1805","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Exponent","https://guide.ethical.org.au/company/?company=1063","Exponent","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594205828-385","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","TEAC","https://guide.ethical.org.au/company/?company=5920","TEAC","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
