,company,company-href,rating-src,sd_rating
0,Top Hat Fine Foods,https://guide.ethical.org.au/company/?company=4261,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
1,OKI Electric,https://guide.ethical.org.au/company/?company=3113,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
2,York Foods,https://guide.ethical.org.au/company/?company=1789,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
3,Future Enterprises,https://guide.ethical.org.au/company/?company=287,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
4,Showpo,https://guide.ethical.org.au/company/?company=3076,https://guide.ethical.org.au/images/icons-small/icon_orange.png,25
5,Smeg Australia,https://guide.ethical.org.au/company/?company=5823,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
6,A Clouet,https://guide.ethical.org.au/company/?company=21,https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png,75
7,Wesfarmers,https://guide.ethical.org.au/company/?company=687,https://guide.ethical.org.au/images/icons-small/icon_yellow.png,50
8,MunsterKids,https://guide.ethical.org.au/company/?company=5280,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
9,Heat,https://guide.ethical.org.au/company/?company=1778,https://guide.ethical.org.au/images/icons-small/icon_yellow.png,50
10,Yumi's Quality Foods,https://guide.ethical.org.au/company/?company=702,https://guide.ethical.org.au/images/icons-small/icon_red.png,0
11,Pasta Garofalo,https://guide.ethical.org.au/company/?company=1996,https://guide.ethical.org.au/images/icons-small/icon_red.png,0
12,Brands RMJ,https://guide.ethical.org.au/company/?company=162,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
13,Milne AgriGroup,https://guide.ethical.org.au/company/?company=1159,https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png,75
14,OptiPharm,https://guide.ethical.org.au/company/?company=3018,https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png,75
15,Bayview Seafoods,https://guide.ethical.org.au/company/?company=1008,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
16,PAS Group,https://guide.ethical.org.au/company/?company=4948,https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png,75
17,Tokai Australia,https://guide.ethical.org.au/company/?company=1068,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
18,Kimberly-Clark Australia,https://guide.ethical.org.au/company/?company=373,https://guide.ethical.org.au/images/icons-small/icon_yellow.png,50
19,McLintocks,https://guide.ethical.org.au/company/?company=427,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
20,Remedy Drinks,https://guide.ethical.org.au/company/?company=3006,https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png,75
21,Boden,https://guide.ethical.org.au/company/?company=2081,https://guide.ethical.org.au/images/icons-small/icon_green.png,100
22,Organico Realfoods,https://guide.ethical.org.au/company/?company=1122,https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png,75
23,Asahi Group,https://guide.ethical.org.au/company/?company=4323,https://guide.ethical.org.au/images/icons-small/icon_yellow.png,50
24,Metsa Board,https://guide.ethical.org.au/company/?company=4381,https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png,75
25,Mayo Group,https://guide.ethical.org.au/company/?company=1800,https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png,75
26,Exponent,https://guide.ethical.org.au/company/?company=1063,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
27,TEAC,https://guide.ethical.org.au/company/?company=5920,https://guide.ethical.org.au/images/icons-small/icon_orange.png,25
28,Aspen Australia,https://guide.ethical.org.au/company/?company=4171,https://guide.ethical.org.au/images/icons-small/icon_yellow.png,50
29,Da Vinci Foods,https://guide.ethical.org.au/company/?company=209,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
30,UB Group,https://guide.ethical.org.au/company/?company=4436,https://guide.ethical.org.au/images/icons-small/icon_grey.png,-1
31,BlackBerry,https://guide.ethical.org.au/company/?company=5918,https://guide.ethical.org.au/images/icons-small/icon_yellow.png,50
32,Bostik Australia,https://guide.ethical.org.au/company/?company=4344,https://guide.ethical.org.au/images/icons-small/icon_yellow.png,50
33,H&M,https://guide.ethical.org.au/company/?company=5207,https://guide.ethical.org.au/images/icons-small/icon_yellow.png,50
34,Cereal Partners Australia,https://guide.ethical.org.au/company/?company=4571,https://guide.ethical.org.au/images/icons-small/icon_red.png,0
