web-scraper-order,web-scraper-start-url,category_link,category_link-href,company,rating
"1593950318-4364","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","Sussan","Rated : Not good enough"
"1593950287-3949","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Burberry","Rated : It's a start"
"1593950380-4945","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Unrobe","Rated : Good"
"1593950054-1541","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","Sussan","Rated : Not good enough"
"1593950380-5106","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Brother Vellies","Rated : It's a start"
"1593950182-2884","https://directory.goodonyou.eco/","Basics & Intimates575","https://directory.goodonyou.eco/categories/basics","Lorna Jane","Rated : Not good enough"
"1593950287-4035","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","KORAL","Rated : Not good enough"
"1593950287-3810","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","C&A","Rated : Good"
"1593950380-4958","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Elizabeth Suzann","Rated : Good"
"1593950380-5165","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Tree of Life","Rated : It's a start"
"1593950023-1055","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","Pomellato","Rated : It's a start"
"1593950023-1177","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","Scotch & Soda","Rated : Not Good Enough"
"1593950380-4900","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","tonlé","Rated : Great"
"1593950084-1833","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","Roger Vivier","Rated : Not good enough"
"1593950226-3015","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","SKFK","Rated : Great"
"1593950318-4141","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","SUSI Studio","Rated : Good"
"1593950023-853","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","HARA","Rated : Great"
"1593950287-3843","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Jungmaven","Rated : Good"
"1593950084-1573","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","Will's Vegan Store","Rated : Good"
"1593950318-4283","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","V by Very","Rated : Not good enough"
"1593950380-5099","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Bali","Rated : It's a start"
"1593950152-2493","https://directory.goodonyou.eco/","Sleepwear110","https://directory.goodonyou.eco/categories/sleepwear","Sleeper","Rated : Not good enough"
"1593950287-3993","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Splendid","Rated : Not Good Enough"
"1593950023-1156","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","Rubi","Rated : It's a start"
"1593950349-4703","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Levi's","Rated : It's a start"
"1593950023-968","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","The Level Collective","Rated : Good"
"1593950023-1021","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","eleven44","Rated : It's a start"
"1593950054-1398","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","Melie Bianco","Rated : Not good enough"
"1593950318-4201","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","Le Kilt","Rated : It's a start"
"1593950195-2947","https://directory.goodonyou.eco/","Suits80","https://directory.goodonyou.eco/categories/suits","Treasure&Bond","Rated : Not Good Enough"
"1593950102-2029","https://directory.goodonyou.eco/","Plus Size162","https://directory.goodonyou.eco/categories/plus-size","Lazy Oaf","Rated : Not good enough"
"1593950349-4543","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","E.L.V. Denim","Rated : Good"
"1593950023-989","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","Sealand","Rated : Good"
"1593950398-5281","https://directory.goodonyou.eco/","Activewear162","https://directory.goodonyou.eco/categories/activewear","Adam Lippes","Rated : Not good enough"
"1593950084-1691","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","Poppy Barley","Rated : It's a start"
