web-scraper-order,web-scraper-start-url,category,category-href,company,rating
"1593890540-3993","https://thegoodshoppingguide.com/","Ethical Crisps","https://thegoodshoppingguide.com/subject/crisps/","Pringles","25"
"1593890492-3631","https://thegoodshoppingguide.com/","Ethical Soap","https://thegoodshoppingguide.com/subject/soap/","Odylique","92"
"1593890455-3296","https://thegoodshoppingguide.com/","Ethical Washing Machines","https://thegoodshoppingguide.com/subject/washing-machines/","Miele","86"
"1593890444-3201","https://thegoodshoppingguide.com/","Ethical Mortgages","https://thegoodshoppingguide.com/subject/ethical-mortgages/","Virgin Money","72"
"1593890477-3485","https://thegoodshoppingguide.com/","Ethical Dishwashers","https://thegoodshoppingguide.com/subject/dishwashers/","Zanussi","95"
"1593890549-4052","https://thegoodshoppingguide.com/","Ethical Chocolate","https://thegoodshoppingguide.com/subject/chocolate/","Bounty","42"
"1593890544-4009","https://thegoodshoppingguide.com/","Ethical Coffee Shops","https://thegoodshoppingguide.com/subject/coffee-shops/","Esquires","65"
"1593890564-4180","https://thegoodshoppingguide.com/","Ethical Beer, Lager and Cider","https://thegoodshoppingguide.com/subject/beer-lager-and-cider/","Old Speckled Hen","62"
"1593890448-3220","https://thegoodshoppingguide.com/","Ethical Insurance","https://thegoodshoppingguide.com/subject/ethical-insurance/","AVIVA","72"
"1593890490-3616","https://thegoodshoppingguide.com/","Ethical Sun Protection","https://thegoodshoppingguide.com/subject/sun-protection/","Malibu","65"
"1593890532-3935","https://thegoodshoppingguide.com/","Ethical Margarine","https://thegoodshoppingguide.com/subject/margarine/","Castle Dairies","62"
"1593890448-3245","https://thegoodshoppingguide.com/","Ethical Insurance","https://thegoodshoppingguide.com/subject/ethical-insurance/","Allianz","44"
"1593890514-3836","https://thegoodshoppingguide.com/","Ethical Vegan & Vegetarian Foods","https://thegoodshoppingguide.com/subject/vegetarian-foods/","Cauldron Foods","71"
"1593890540-3981","https://thegoodshoppingguide.com/","Ethical Crisps","https://thegoodshoppingguide.com/subject/crisps/","Jonathan Crisp","79"
"1593890495-3669","https://thegoodshoppingguide.com/","Ethical Skincare","https://thegoodshoppingguide.com/subject/skincare/","L'Occitane","73"
"1593890501-3737","https://thegoodshoppingguide.com/","Ethical Pain Remedies","https://thegoodshoppingguide.com/subject/pain-remedies/","Aspirin","35"
"1593890527-3918","https://thegoodshoppingguide.com/","Ethical Soft Drinks","https://thegoodshoppingguide.com/subject/soft-drinks/","PJ Smoothie","57"
"1593890453-3284","https://thegoodshoppingguide.com/","Ethical Washing Up Liquid","https://thegoodshoppingguide.com/subject/washing-up-liquid/","Surcare","64"
"1593890566-4197","https://thegoodshoppingguide.com/","Ethical Bananas","https://thegoodshoppingguide.com/subject/bananas/","Bonita","67"
"1593890519-3861","https://thegoodshoppingguide.com/","Ethical Tea","https://thegoodshoppingguide.com/subject/tea/","Typhoo","83"
"1593890510-3809","https://thegoodshoppingguide.com/","Ethical Cold Remedies","https://thegoodshoppingguide.com/subject/ethical-cold-remedies/","Nurofen Cold & Flu","46"
"1593890551-4094","https://thegoodshoppingguide.com/","Ethical Cat & Dog Food","https://thegoodshoppingguide.com/subject/cat-dog-food/","Wagg","63"
"1593890546-4024","https://thegoodshoppingguide.com/","Ethical Coffee","https://thegoodshoppingguide.com/subject/coffee/","The Co-operative","83"
"1593890512-3826","https://thegoodshoppingguide.com/","Ethical Yoghurt","https://thegoodshoppingguide.com/subject/yoghurt/","Ski","46"
"1593890562-4165","https://thegoodshoppingguide.com/","Ethical Biscuits","https://thegoodshoppingguide.com/subject/biscuits/","Hill","62"
"1593890481-3540","https://thegoodshoppingguide.com/","Ethical Cleaners","https://thegoodshoppingguide.com/subject/ethical-cleaners/","Xtra","91"
"1593890521-3882","https://thegoodshoppingguide.com/","Ethical Supermarkets","https://thegoodshoppingguide.com/subject/supermarkets/","Asda","54"
"1593890444-3202","https://thegoodshoppingguide.com/","Ethical Mortgages","https://thegoodshoppingguide.com/subject/ethical-mortgages/","TSB Bank","66"
"1593890516-3842","https://thegoodshoppingguide.com/","Ethical Tinned Tuna","https://thegoodshoppingguide.com/subject/tinned-tuna/","Fish4ever","95"
"1593890525-3904","https://thegoodshoppingguide.com/","Ethical Soup","https://thegoodshoppingguide.com/subject/soup/","Campbells","46"
"1593890477-3484","https://thegoodshoppingguide.com/","Ethical Dishwashers","https://thegoodshoppingguide.com/subject/dishwashers/","Electrolux","95"
"1593890464-3368","https://thegoodshoppingguide.com/","Ethical Laundry Detergents","https://thegoodshoppingguide.com/subject/laundry-detergents/","Bio D","95"
"1593890492-3626","https://thegoodshoppingguide.com/","Ethical Soap","https://thegoodshoppingguide.com/subject/soap/","Living Naturally","100"
"1593890519-3858","https://thegoodshoppingguide.com/","Ethical Tea","https://thegoodshoppingguide.com/subject/tea/","Clipper","87"
"1593890570-4229","https://thegoodshoppingguide.com/","Ethical Shoes & Trainers","https://thegoodshoppingguide.com/subject/shoes-trainers/","Puma","65"
"1593890461-3361","https://thegoodshoppingguide.com/","Ethical Paint","https://thegoodshoppingguide.com/subject/paint/","Craig & Rose","67"
"1593890466-3397","https://thegoodshoppingguide.com/","Ethical Kitchen Appliances","https://thegoodshoppingguide.com/subject/kitchen-appliances/","Breville","77"
"1593890448-3235","https://thegoodshoppingguide.com/","Ethical Insurance","https://thegoodshoppingguide.com/subject/ethical-insurance/","AA","61"
"1593890508-3798","https://thegoodshoppingguide.com/","Ethical Feminine Care","https://thegoodshoppingguide.com/subject/ethical-feminine-care/","Always","42"
"1593890538-3980","https://thegoodshoppingguide.com/","Ethical Dog Food","https://thegoodshoppingguide.com/subject/ethical-dog-food/","Pedigree","32"
"1593890453-3280","https://thegoodshoppingguide.com/","Ethical Washing Up Liquid","https://thegoodshoppingguide.com/subject/washing-up-liquid/","Ecozone","95"
"1593890529-3925","https://thegoodshoppingguide.com/","Ethical Pasta, Pulses and Rice","https://thegoodshoppingguide.com/subject/pasta-pulse-and-rices/","Infinity Foods","87"
"1593890495-3677","https://thegoodshoppingguide.com/","Ethical Skincare","https://thegoodshoppingguide.com/subject/skincare/","No 7","50"
"1593890448-3223","https://thegoodshoppingguide.com/","Ethical Insurance","https://thegoodshoppingguide.com/subject/ethical-insurance/","Ansvar","72"
"1593890444-3200","https://thegoodshoppingguide.com/","Ethical Mortgages","https://thegoodshoppingguide.com/subject/ethical-mortgages/","Newcastle Building Society","72"
"1593890440-3174","https://thegoodshoppingguide.com/","Ethical Mobile Networks","https://thegoodshoppingguide.com/subject/mobile-networks/","Sky Mobile","75"
