Date,Description,ISIN,Industry,Rating Type,Rating to,Outlook,Rating From,Outlook2,
02 July 2020,LafargeHolcim,CH0012214059,Construction Materials,Corporate Rating,E,Stable,E+,Stable,
01 July 2020,Fresenius SE & Co.,DE0005785604,Health Care Facilities & Svcs,Corporate Rating,E+,Stable,E+,Stable,
30 June 2020,FinecoBank,IT0000072170,Banking,Corporate Rating,EE+,Stable,EE,Stable,
26 June 2020,UBI Banca,IT0003487029,Banking,Corporate Rating,Suspended,,EE,Negative,
24 June 2020,Adecco Group,CH0012138605,Commercial Services,Corporate Rating,EEE-,Positive,EEE-,Stable,
23 June 2020,Wirecard,DE0007472060,Specialty Finance,Corporate Rating,Suspended,,EE-,Stable,
22 June 2020,MVV Energie ,DE000A0H52F5,Utilities,Corporate Rating,EE-,Positive,,,
19 June 2020,EnBW Energie Baden-Wurttemberg ,DE0005220008,Utilities,Corporate Rating,E,Stable,,,
18 June 2020,Neoen,FR0011675362,Utilities,Corporate Rating,E+,Stable,,,
18 June 2020,Credito Emiliano,IT0003121677,Banking,Corporate Rating,E,Stable,E-,Stable,
17 June 2020,ERG,IT0001157020,Utilities,Corporate Rating,E+,Stable,,,
17 June 2020,Ferrovial,ES0118900010,Engineering & Construction Svcs,Corporate Rating,EE-,Stable,EE-,Stable,
11 June 2020,Iren,IT0003027817,Utilities,Corporate Rating,E+,Stable,,,
10 June 2020,Suez,FR0010613471,Utilities,Corporate Rating,EE-,Stable,,,
08 June 2020,BKW,CH0130293662,Utilities,Corporate Rating,E+,Positive,,,
05 June 2020,EVN,AT0000741053,Utilities,Corporate Rating,EE-,Positive,,,
04 June 2020,Elia Group,BE0003822393,Utilities,Corporate Rating,EE-,Stable,EE,Stable,
04 June 2020,EDP Renovaveis,ES0127797019,Utilities,Corporate Rating,E+,Positive,,,
28 May 2020,Groupe Bruxelles Lambert,BE0003797140,Asset Management,Corporate Rating,E,Negative ,E,Stable,
27 May 2020,AXA,FR0000120628,Insurance,Corporate Rating,EE,Stable,EE,Stable,
25 May 2020,CEZ,CZ0005112300,Utilities,Corporate Rating,E,Stable,,,
21 May 2020,Verbund ,AT0000746409,Utilities,Corporate Rating,EE,Stable,,,
21 May 2020,Campari,IT0005252207,Consumer Products,Corporate Rating,E,Stable,E+,Stable,
20 May 2020,Linde Plc,IE00BZ12WP82,Chemicals,Corporate Rating,EE,Stable,EE,Stable,
14 May 2020,Pennon Group,GB00B18V8630,Utilities,Corporate Rating,EE+,Stable,,,
14 May 2020,Adyen,NL0012969182,Specialty Finance,Corporate Rating,EE-,Stable,Pending,,
13 May 2020,Hera,IT0001250932,Utilities,Corporate Rating,EE-,Stable,,,
11 May 2020,Acea,IT0001207098,Utilities,Corporate Rating,EE-,Stable,EE-,Stable,
07 May 2020,Bank Pekao ,PLPEKAO00016,Banking,Corporate Rating,E+,Stable,,,
07 May 2020,Intertek Group ,GB0031638363,Commercial Services,Corporate Rating,EEE-,Stable,,,
06 May 2020,AB Volvo,SE0000115446,Transportation Equipment,Corporate Rating,E+,Positive,E+,Positive,
30 April 2020,Uniper,DE000UNSE018,Utilities,Corporate Rating,EE-,Stable,,,
30 April 2020,DiaSorin,IT0003492391,Medical Equipment & Devices,Corporate Rating,EE-,Under Monitoring,EE-,Stable,
29 April 2020,Dow,US2605571031,Chemicals,Corporate Rating,EE-,Stable,,,
27 April 2020,Severn Trent,GB00B1FH8J72,Utilities,Corporate Rating,EE,Stable,,,
23 April 2020,China Unicom (Hong Kong),HK0000049939,Telecom,Corporate Rating,E,Stable,,,
23 April 2020,CaixaBank,ES0140609019,Banking,Corporate Rating,E+,Stable,E+,Stable,
22 April 2020,VINCI,FR0000125486,Engineering & Construction Svcs,Corporate Rating,EE-,Positive,EE-,Stable,
20 April 2020,CSPC Pharmaceutical Group ,HK1093012172,Biotech & Pharma,Corporate Rating,E,Stable,,,
17 April 2020,Techtronic Industries,HK0669013440,Home & Office Products,Corporate Rating,E+,Stable,,,
16 April 2020,United Utilities Group,GB00B39J2M42,Utilities,Corporate Rating,EE,Positive,,,
16 April 2020,Amadeus IT Group,ES0109067019,Technology Services,Corporate Rating,EE,Stable,EE-,Stable,
15 April 2020,Roche Holding,CH0012032048,Biotech & Pharma,Corporate Rating,E+,Stable,E,Stable,
