,company,rating,sd_rating
0,LafargeHolcim,E,25
1,Fresenius SE & Co.,E+,37
2,FinecoBank,EE+,75
3,UBI Banca,Suspended,-1
4,Adecco Group,EEE-,87
5,Wirecard,Suspended,-1
6,MVV Energie ,EE-,50
7,EnBW Energie Baden-Wurttemberg ,E,25
8,Neoen,E+,37
9,Credito Emiliano,E,25
10,ERG,E+,37
11,Ferrovial,EE-,50
12,Iren,E+,37
13,Suez,EE-,50
14,BKW,E+,37
15,EVN,EE-,50
16,Elia Group,EE-,50
17,EDP Renovaveis,E+,37
18,Groupe Bruxelles Lambert,E,25
19,AXA,EE,62
20,CEZ,E,25
21,Verbund ,EE,62
22,Campari,E,25
23,Linde Plc,EE,62
24,Pennon Group,EE+,75
25,Adyen,EE-,50
26,Hera,EE-,50
27,Acea,EE-,50
28,Bank Pekao ,E+,37
29,Intertek Group ,EEE-,87
30,AB Volvo,E+,37
31,Uniper,EE-,50
32,DiaSorin,EE-,50
33,Dow,EE-,50
34,Severn Trent,EE,62
35,China Unicom (Hong Kong),E,25
36,CaixaBank,E+,37
37,VINCI,EE-,50
38,CSPC Pharmaceutical Group ,E,25
39,Techtronic Industries,E+,37
40,United Utilities Group,EE,62
41,Amadeus IT Group,EE,62
42,Roche Holding,E+,37
43,Sunny Optical Technology Group,E,25
44,China Shenhua Energy,E-,12
45,Hengan International Group ,E,25
46,Banco Desio Brianza,E+,37
47,AAC Technologies Holdings,E+,37
48,CK Infrastructure Holdings ,E,25
49,Solvay,EE-,50
50,UniCredit,EE+,75
51,Sino Land Company,E,25
52,Hang Lung Properties ,E,25
53,AIB Group,E+,37
54,Air Liquide,EE+,75
55,Philips,EE,62
56,Tenaris,E,25
57,Nordea Bank,EE,62
58,Novartis,EE-,50
59,Henderson Land Development,E,25
60,Swedbank,EE,62
61,L'Oreal,E+,37
62,Grifols,E+,37
63,CNH Industrial,E+,37
64,CITIC Limited,E,25
65,Naturgy Energy Group (formerly Gas Natural SDG),E+,37
66,Adidas,EE,62
67,Sino Biopharmaceutical ,E,25
68,Continental,EE-,50
69,BNP Paribas,EE+,75
70,Capgemini,EEE-,87
71,UBS Group,E+,37
72,PetroChina,E,25
73,Acciona,EE-,50
74,LVMH,E+,37
75,Want Want China Holdings,E,25
76,Geberit,EEE-,87
77,AB Inbev,E-,12
78,Banca Generali,EE,62
79,Power Assets Holdings,E+,37
80,Enel,EE,62
81,WH Group ,E,25
82,STMicroelectronics,EE,62
83,ING Groep,E+,37
84,Banco BPM,EE-,50
85,China Mengniu Dairy,E,25
86,Terna,E+,37
87,Dassault Systemes,E+,37
88,Umicore,EE+,75
89,Schroders,E+,37
90,Salvatore Ferragamo,E,25
91,BPER Banca (formerly Banca Popolare Emilia Romagna),EE-,50
92,BHP Group Plc (formerly BHP Billiton),E,25
93,Ence Energia y Celulosa ,EE-,50
94,EssilorLuxottica,EE-,50
95,SIAS,EE-,50
96,ASTM,EE-,50
97,Adyen,Pending,-1
98,Geely Automobile Holdings,E,25
99,Leonardo (formerly Finmeccanica),EE,62
100,Verizon Communications,EE-,50
101,PKO Bank Polski,EE-,50
102,Vivendi,E,25
103,Atlantia,E-,12
104,Alcon,Pending,-1
105,Total,EE-,50
106,Pirelli & C.,E+,37
107,Warehouses de Pauw (WDP),E+,37
108,Pfizer,E+,37
109,Kering,E-,12
110,UnipolSai,EE+,75
111,ABB,EE,62
112,Bayer,E+,37
113,New World Development Company,EE-,50
114,China Life Insurance Company,E,25
115,Shenzhou International Group Holdings,E,25
116,Sinopec Corp,E-,12
117,Wharf REIC,E+,37
118,Link REIT,EE,62
119,Galaxy Entertainment Group,E,25
120,CK Asset Holdings,E+,37
121,Bank of Communications,E,25
122,China Resources Land,E,25
123,Country Garden Holdings,E,25
124,CK Hutchison Holdings,E+,37
125,Sands China,E,25
126,Hong Kong and China Gas,E+,37
127,Hong Kong Exchanges and Clearing (HKEX),EE+,75
128,Bank of China Hong Kong Holdings,E+,37
129,Sun Hung Kai Properties,E,25
130,Hang Seng Bank,E+,37
131,Industrial and Commercial Bank of China (ICBC),E-,12
132,Ping An Insurance Group Co of China,E-,12
133,FinecoBank,EE,62
134,China Overseas Land & Investment,E,25
135,Unibail-Rodamco-Westfield ,EEE-,87
136,CNOOC,E-,12
137,Amplifon,E+,37
138,Nordea Bank,EE+,75
139,Sanofi,EE-,50
140,Cofinimmo,EE+,75
141,Swatch,E,25
142,Saint-Gobain,EE,62
143,Tencent Holdings,E-,12
144,Valeo,EE,62
145,Carrefour,EE-,50
146,Credito Valtellinese,EE-,50
147,AIA Group,EE,62
148,Commerzbank,EE-,50
149,ANA Holdings,E+,37
150,Deutsche Boerse,EE-,50
151,China Construction Bank,E,25
152,Electricité de France (EDF),E+,37
153,Deutsche Post,EE+,75
154,SBM Offshore,Removed from SE Indices,-1
155,Swedbank,EE,62
156,Nordea Bank,EE+,75
157,Novo Nordisk,EE-,50
158,AB Volvo,E+,37
159,A2A,EE,62
160,Takeda Pharmaceutical,EE,62
161,Henkel,E,25
162,Bank of China,E-,12
163,Colruyt,E,25
164,Michelin,EE+,75
165,Sony Corporation,EE,62
166,Boeing,Suspended,-1
167,Atlas Copco,EE,62
168,Cellnex Telecom,EE-,50
169,UBI Banca,EE,62
170,China Mobile,E,25
171,Carnival Plc,E,25
172,Volkswagen,E-,12
173,Equinor,EE,62
174,A.P. Moller - Maersk,E+,37
175,Poste Italiane,E+,37
176,Engie,EE-,50
177,CLP Holdings,E,25
178,Ferguson PLC (formerly Wolseley),EE,62
179,Mizuho Financial Group,EE-,50
180,CIE Automotive,E,25
181,CNH Industrial,E+,37
182,Mitsubishi UFJ Financial Group (MUFG),E+,37
183,Ashtead group plc,EE-,50
184,Hitachi,EE-,50
185,Informa,EE,62
186,argenx,EE-,50
187,Renault,E+,37
188,Banca Carige,Suspended,-1
189,Enel,EE+,75
190,Wirecard,EE-,50
191,MTR Corporation,EE-,50
192,ArcelorMittal,E+,37
193,Swire Pacific,E,25
194,Covestro,EE+,75
195,Walgreens Boots Alliance,E+,37
196,Hermès International,E,25
197,Ferrari,E+,37
198,Danske Bank,Suspended,-1
199,Unibail-Rodamco,Pending,-1
200,FinecoBank,EE,62
201,Deutsche Post,EE,62
202,Yoox Net-A-Porter,Suspended because Delisted,-1
203,UnipolSai,EE+,75
204,Boeing,E+,37
205,Sanofi,Pending,-1
206,Energias de Portugal,E+,37
207,Philips,EE,62
208,Philips Lighting,EE+,75
209,London Stock Exchange Group,EEE-,87
210,Fortum,EE+,75
211,Nissan,E+,37
212,ASR Nederland,EE-,50
213,Daiwa Securities Group,EE-,50
214,Ørsted,EE,62
215,Mitsubishi Electric,EE-,50
216,ENI,EE+,75
217,Nestlé,EE-,50
218,A2A,EE-,50
219,Airbus Group,EE-,50
220,Buzzi Unicem,E+,37
221,UnitedHealth,E,25
222,United Technologies,E,25
223,Merck & Co.,E+,37
224,Home Depot,E+,37
225,Exxon Mobil,E-,12
226,DowDuPont,E,25
227,Veolia Environnement,EE,62
228,Procter & Gamble,EE,62
229,Johnson & Johnson,E,25
230,Cisco Systems,EE+,75
231,Vopak,E+,37
232,SBM Offshore,Pending,-1
233,Randstad,EE,62
234,DSM Kon,EE,62
235,Boskalis Westmin,E+,37
236,Altice,E,25
237,Akzo Nobel,EE+,75
238,Aalberts Industries,E+,37
239,Nike,EE-,50
240,Intel Corporation,EE,62
241,Philips,EE,62
242,Banca MPS,EE-,50
243,KPN,E+,37
244,Heineken N.V.,EE-,50
245,Coca-Cola Company,EE,62
246,Pfizer,Pending,-1
247,Moncler,E+,37
248,Goldman Sachs,E+,37
249,Aegon,EE+,75
250,NN Group,EEE-,87
251,Visa,EE,62
252,ASML Holding,EE+,75
253,Inditex,E-,12
254,Aena,E,25
255,ACS,E,25
256,Tecnicas Reunidas,E+,37
257,Melia Hotels International,E+,37
258,Mapfre,E+,37
259,Inmobiliaria Colonial,E+,37
260,Bankinter,E+,37
261,Indra,EE-,50
262,DIA,EE-,50
263,Merlin Properties,EE+,75
264,Mediaset Espana,E,25
265,Wolters Kluwer,EEE-,87
266,Prysmian,EE+,75
267,Repsol,EE-,50
268,Red Electrica,EE-,50
269,Cellnex Telecom,EE-,50
270,Microsoft Corporation,EE,62
271,Amadeus IT Group,EE-,50
272,Siemens Gamesa,EE,62
273,Apple,EE-,50
274,Enagás,E+,37
275,Acciona,E+,37
276,McDonald's Corporation,E+,37
277,Sika,E+,37
